Sheet: Cost ($)
Subtotal,Service Items,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,Total
Direct Charges (117),,147307.68727105038,146491.44068906512,150328.58365627826,151902.48871438802,161997.77091872765,167232.8031338225,141939.0133027388,150633.75199455753,163827.9995868478,154149.88744561144,153374.3067949753,152370.00308195982,20913.05331984475,1862468.7899098701
,EBS - PIOPs Storage,,,,,2.5728333169000006,96.27072570899999,384.999999696,384.9999996432,384.9999996432,385.00000042559986,384.99999964320006,384.9999996959999,44.50268813079997,2453.3462459038997
,EBS - Storage,4876.808124033001,5682.801115466399,5676.3876807066,5757.117661977198,6133.9505395943015,6336.333373477404,6533.3021684914,6547.949939497999,6518.3450811511,6522.7179848373,6614.460525617399,6636.721622181305,776.6193013464006,74613.5151183778
,EC2 - Application Load Balancer Usage,361.5608374615001,321.74205805330007,285.74319316260005,268.41341586500005,262.7690050615,268.80335341110003,241.00956746280008,234.42799955150005,233.49569208710002,213.57727983070004,235.92110633720003,233.97824724080004,31.05389265739999,3192.4956481825
,EC2 - Application Load Balancer Transfer,0.0054992897,0.002577466,0.008355017800000001,0.004718540500000001,0.010779647899999998,0.0366742916,0.10904370430000003,0.088006666,0.07781938620000002,0.06274360359999998,0.08000509939999999,0.037462883899999994,0.0006788914,0.5243644883
,EC2 - Compute,24693.705921936005,23330.125582611818,23833.121727640002,25287.3178865594,28692.728259426807,28844.905782224396,25442.31293523251,26119.438440644113,26165.902818575807,21836.879812210507,23197.053763332002,20794.530699783983,2700.5360577167003,300938.55968789407
,EC2 - CPU Credits,,0.000036192,,0.096654816,0.025641888,0.010045152,,0.010831296,0.446763072,,0.0185646,,,0.608537016
,EC2 - EBS Surcharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,EC2 - Classic Load Balancer Usage,85.0415381121,82.49814462450001,91.7869779684,96.85494488340001,116.8185129518,147.2459458241,194.2087487196,200.83112846480003,197.4516339992,175.8964769603,194.504297159,188.3115239471,23.9973800929,1795.4472537072
,EC2 - Classic Load Balancer Transfer,23.4024049313,23.430548,21.681624953200004,27.372678754299997,55.7765308486,66.08710619889999,64.12480757330003,64.19542363529999,55.7819394604,43.026116954600006,46.69648164790001,45.594774175999994,5.769811518300001,542.9402486521
,EC2 - Network Load Balancer Usage,532.9763271699001,515.9402633441,466.8591174817,496.6231541344001,529.2385658445,541.8768108787,463.5761473036001,537.3856199482001,551.2881665924001,485.9462990219001,538.3938108147,521.86989435,66.1522251762,6248.1264020603
,EC2 - Network Load Balancer Transfer,3.0924903500000003,0.9755656734000001,0.8724444145000001,3.3566735066,25.924684877499995,29.378276146800008,25.443591306499997,30.599411072800002,32.531408874099995,26.423986770700004,29.292489272399997,23.491889434599997,2.5812277304,233.96413943029998
,EC2 - EBS Snapshot,4597.907456721199,6273.846927159429,7902.193847139625,9530.891456420684,12935.276277352054,17593.622583973447,20197.12102278307,26940.35213982573,40125.832330905476,39140.68194752181,29148.618956208866,26704.314424798442,2753.026069492346,243843.68544030216
