Sheet: Cost ($)
Subtotal,Service Items,scdhhs-onbase-upper,scdhhs-mes-upper,scdhhs-eps-lower,scdhhs-mes-networking,scdhhs-eps-upper,scdhhs-onbase-lower,scdhhs-mes-lower,scdhhs-mes-audit,scdhhs-mes-shared,scdhhs-cbs-sandbox,scdhhs-mes-bastion,mes-aws-sharedservices,scdhhs-mes-upper-fhir,scdhhs-mes-lower-edi,scdhhs-mes-upper-edi,scdhhs-mes-lower-fhir,MES_AWS_PRD,Total
Direct Charges (105),,9125.786645599757,4767.9414920885,1915.1083470886003,881.1640774023001,1108.4914735631999,1164.4511194464003,1058.6048249704997,602.9671457463003,196.3506606377,85.70323039910001,4.489754953699999,0.0010837940000000001,0.6729885142,0.5380996879000001,0.47090515290000007,0.31027890580000006,0.0011918939,20913.053319844752
,EBS - PIOPs Storage,44.50268813079997,,,,,,,,,,,,,,,,,44.50268813079997
,EBS - Storage,474.03569910080057,141.29892477520002,15.4892473134,44.472634407399994,48.13225807699999,17.8473118434,28.361505390399987,0.9247311852000002,5.363440869000001,0.6935483846,,,,,,,,776.6193013464007
,EC2 - Application Load Balancer Usage,,12.419999999999998,4.140479093899999,,8.283413563499998,,6.209999999999998,,,,,,,,,,,31.05389265739999
,EC2 - Application Load Balancer Transfer,,,0.0006788914,,,,,,,,,,,,,,,0.0006788914
,EC2 - Compute,1748.6968890959993,225.9031463772,83.4954081328,204.89294769699998,181.32681875319997,136.1297041762,64.18734714229998,,55.903796342,,,,,,,,,2700.5360577166994
,EC2 - EBS Surcharge,0,0,,0,0,0,0,,,,,,,,,,,0
,EC2 - Classic Load Balancer Usage,,,4.6000000000000005,19.3973800929,,,,,,,,,,,,,,23.997380092900002
,EC2 - Classic Load Balancer Transfer,,,0.0005540997999999999,5.7692574185000005,,,,,,,,,,,,,,5.769811518300001
,EC2 - Network Load Balancer Usage,8.128518933899999,12.420146625999998,2.0699999999999994,31.1135596163,4.139999999999999,2.0699999999999994,6.209999999999998,,,,,,,,,,,66.15222517619999
,EC2 - Network Load Balancer Transfer,0.9244138644,0.0007620303000000001,,1.6560518357,,0,,,,,,,,,,,,2.5812277304
,EC2 - EBS Snapshot,2134.123717571745,508.1814103788001,6.006175576600006,20.534951094999983,11.344439994899991,61.7338171659003,7.366125979899999,,3.7354317294999992,,,,,,,,,2753.0260694923454
,EC2 - Transfer,8.879472530700005,0.6993163812,0.0002260245,18.4279755216,0.0002252615,0.7905831515000001,0.017293173,,0.009046616,,,,,,,,,28.824138660000003
,EC2 - NAT Gateway Transfer,0.0000073029,18.096470256299998,0.4135434388,7.5786919235999965,-1.0000006378518833e-10,0.000002435600000000001,0.0005730634000000001,0.23007199430000005,0.0144494892,,,,,,,,,26.333809903999995
,EC2 - NAT Gateway Usage,12.464999999999998,49.54499999999998,8.144999999999989,49.68,0,4.140000000000001,66.375,8.055,4.139999999999999,,,,,,,,,202.54499999999996
,S3 - API,1.3834942,14.958627415499992,0.016384399999999983,0.019200400000000006,0.0384636,0.010332000000000001,0.03662554209999977,33.57349060879995,0.011952148399999984,0.0016204840000000006,0.0013148,0.000956,0.0005849000000000001,0.0006144000000000001,0.0005526,0.0005686,0.0010634,50.05584549879995
,S3 - Glacier Deep Archive Overhead,2.1263331918999997,7.100999999999999e-7,,,,,0.0000836549,0.00020145069999999999,,,,,,,,,,2.1266190076
,S3 - Glacier Deep Archive,25.6788799676,0.0629476516,,,,,0.0247456382,0.003410701,,,,,,,,,,25.769983958399997
,S3 - Glacier Overhead,,0.07620627260000001,,,,,,4.5919655062,,,,,,,,,,4.668171778800001
,S3 - Glacier,,0.0154766316,,,,,,2.5411041357,,,,,,,,,,2.5565807673
,S3 - Standard Infrequent Access,0.3877269408,,,,,,,,,,,,,,,,,0.3877269408
,S3 - Intelligent Tier,,,,,,,,0.7429097366,,,,,,,,,,0.7429097366
,S3 - Intelligent Tier Archive Instant Access,,,,,,0.0026692976,,0.25243615329999997,,,,,,,,,,0.2551054509
,S3 - Intelligent Tier Infrequent Access,,,,,,,,0.0212698664,,,,,,,,,,0.0212698664
,S3 - Intelligent Tier Monitoring and Automation,,,,,,0.0078583872,,0.1786950807,,,,,,,,,,0.18655346790000002
,S3 - Storage,858.3540118299999,496.82961638629973,4.758887120700003,0.34959864700000004,53.35363682979999,15.072499458600001,52.87171745009996,97.61368829289997,6.274352628400004,2.482e-7,0.43269761929999995,1.78e-8,0.0056089394,0.042280809800000006,0.0274930993,,1.9879999999999998e-7,1585.9860895763998
,S3 - Transfer,0.02007905419999998,0.0805416426,0.00030580509999999996,0.0000025776,0.0023484461000000006,0.000005093700000000001,0.00018200090000000012,0.8281531794000002,0.0009899752000000002,0.0000024443,0.0000038610999999999985,0.0000017738000000000003,6.708e-7,0.0000017632000000000003,0.0000010168000000000004,2.887e-7,0.0000022951000000000003,0.9326218886000002
,RDS - Charged Backup Usage,,,0.0086138274,,24.3376084288,,,,,,,,,,,,,24.3462222562
,RDS - Compute,,,268.35900000000004,,443.35200000000003,,88.90700000000001,,,,,,,,,,,800.618
,RDS - GP3 Storage,,,11.8856518872,,19.832862904399995,,7.0329301042,,,,,,,,,,,38.75144489579999
