Sheet: Cost ($)
Subtotal,Service Items,scdhhs-onbase-upper,scdhhs-mes-upper,scdhhs-eps-lower,scdhhs-eps-upper,scdhhs-mes-lower,scdhhs-mes-networking,scdhhs-onbase-lower,scdhhs-mes-audit,scdhhs-mes-shared,scdhhs-cbs-sandbox,scdhhs-mes-bastion,mes-aws-sharedservices,scdhhs-mes-upper-fhir,scdhhs-mes-lower-fhir,scdhhs-mes-lower-edi,scdhhs-mes-upper-edi,MES_AWS_PRD,Total
Direct Charges (115),,295734.748809775,156855.56304754765,36348.5031671535,30215.645782306197,33307.78913634599,23831.782020143703,19746.427946867298,18561.8784410956,6165.875424147398,2671.9139785823004,105.2824351936,0.0330764493,117.7744153257,30.998892607400006,17.3075870306,10.635233631,0.0375151923,623722.1969093942
,EBS - PIOPs Storage,1539.999999408,,,,,,,,,,,,,,,,,1539.999999408
,EBS - Storage,16403.836031411305,4911.862999457002,553.6561770015,1030.6507273860998,1011.4099588493,1533.9309678096001,617.6000005392001,32.0000000304,185.6048029601,11.693548342599998,,,,,,,,26292.245213787108
,EC2 - Application Load Balancer Usage,,388.80111961550006,178.87326653899999,154.8979393413,194.40000000000003,,,,,,,,,,,,,916.9723254958001
,EC2 - Application Load Balancer Transfer,,,0.25803097309999984,,,,,,,,,,,,,,,0.25803097309999984
,EC2 - Compute,58427.816652136,10690.832230765298,2194.3122491899994,3123.6139788990017,3711.9974425448,8195.451737098498,3853.2371725167,,1796.9068507040001,0.198780048,,,,,,,,91994.3670939023
,EC2 - CPU Credits,,,0.446763072,,0.01721685,,,,0.00134775,,,,,,,,,0.46532767199999997
,EC2 - EBS Surcharge,0,0,0,0,0,0,0,,,,,,,,,,,0
,EC2 - Classic Load Balancer Usage,,,144.00000000000003,,,612.1639320656,,,,,,,,,,,,756.1639320656
,EC2 - Classic Load Balancer Transfer,,,0.007911490199999998,,,191.0914007487,,,,,,,,,,,,191.0993122389
,EC2 - Network Load Balancer Usage,271.0305886357,388.80535659710006,64.8000002,129.60000000000002,194.4000004999,984.0622248463001,64.80000000000001,,,,,,,,,,,2097.4981707790002
,EC2 - Network Load Balancer Transfer,52.163906789200006,0.0231894277,,,,59.55267813489999,0,,,,,,,,,,,111.7397743518
,EC2 - EBS Snapshot,89258.70899181483,41398.501907038066,255.63490711829988,357.09565216689964,305.9124620208004,782.9173203992,2615.0116973775025,,145.66472149900022,,,,,,,,,135119.4476594346
,EC2 - Transfer,241.3453841602,37.49873194919999,0.43517070230000005,1.7512121187999992,1.2051903883999997,649.3422619035999,15.0199431582,,0.19273156229999996,,,,,,,,,946.790625943
,EC2 - NAT Gateway Transfer,0.00018961259999999996,552.7125422427002,29.07954572700002,1.999991283696545e-10,0.015091736700000004,282.01125967800004,0.00008120440000000002,7.548511073700001,1.1035953321,,,,,,,,,872.4708166074001
,EC2 - NAT Gateway Usage,388.80000000000007,1923.0675003000006,259.20000000000005,0.07500015360005818,2073.6000000000004,1555.2,129.60000000000002,259.20000000000005,129.60000000000002,,,,,,,,,6718.342500453601
,S3 - API,43.623675276,508.7109733464014,0.9152716000000001,0.5202238,1.5647742629000094,0.6275728,0.2872205999999999,1063.2236204606004,0.33315583800000004,0.049759202599999997,0.043607999999999994,0.0287622,2.9956132599999994,0.696389,0.019150400000000005,0.016877800000000005,0.0332138,1623.6898616465016
,S3 - Glacier Deep Archive Overhead,64.2450390555,0.0000214562,,,0.0020881295,,,0.0056482302,,,,,,,,,,64.2527968714
,S3 - Glacier Deep Archive,664.8842780729001,1.9513771974000003,,,0.6324942936,,,0.10540020319999999,,,,,,,,,,667.5735497671001
,S3 - Glacier Overhead,,2.3215672122,,,,,,136.94526775740002,,,,,,,,,,139.2668349696
,S3 - Glacier,,0.4797755778,,,,,,78.2100478602,,,,,,,,,,78.689823438
,S3 - Standard Infrequent Access,12.019535167799999,,,,,,,,,,,,,,,,,12.019535167799999
,S3 - Intelligent Tier,,,,,,,,19.153835414400003,,,,,,,,,,19.153835414400003
,S3 - Intelligent Tier Archive Instant Access,,,,,,,0.08274822300000001,7.5686945448,,,,,,,,,,7.6514427678
,S3 - Intelligent Tier Infrequent Access,,,,,,,,0.7599490865,,,,,,,,,,0.7599490865
,S3 - Intelligent Tier Monitoring and Automation,,,,,,,0.24361000099999996,5.053450010899999,,,,,,,,,,5.297060011899999
,S3 - Storage,22230.534705320395,15276.09150915331,138.79145384739994,1584.9975338499003,1583.6149355128987,8.5284135153,457.20596173409984,2750.6185956912004,183.48143396030005,0.000007546,13.104460164799994,5.49e-7,8.862957724200001,2.5774308854,1.2696017723,0.8159286205999999,0.0000060522,44240.49493589931
,S3 - Transfer,0.00018509239999999998,15.636754364700064,0.38028527169999976,0.18169252759999996,5.804285164199999,0.00007232929999999999,0.039607889699999996,28.680215532400155,0.8511334270999998,0.00007388980000000001,0.00012710480000000006,0.00005362740000000002,1.5481147115000011,1.3055369076000003,0.00005396760000000001,0.00003102740000000001,0.00007134009999999998,54.42829417530022
,RDS - Charged Backup Usage,,,0.29183747670000004,515.8036394788999,,,,,,,,,,,,,,516.0954769555999
,RDS - Compute,,,6018.293767577,13122.152806024998,2813.7600000000007,,,,,,,,,,,,,21954.206573602
,RDS - GP3 Storage,,,307.0778851136,247.5639539369,229.99999994400008,,,,,,,,,,,,,784.6418389945002
,RDS - I/O,,,19.880261999999995,19.378967199999998,,,,,,,,,,,,,,39.25922919999999
,RDS - Multi-AZ GP3 Storage,,,,853.5395525291999,,,,,,,,,,,,,,853.5395525291999
,RDS - Storage,,,0.3217582363,0.0658323741,,,,,,,,,,,,,,0.3875906104
,RDS - Transfer,,,0.013274096600000002,0.0205096259,0.0001258083,,,,,,,,,,,,,0.033909530800000004
,API Gateway - API Call,,1.5814785000000002,,,0.014717499999999998,,,,,,,,,,,,,1.5961960000000002
,API Gateway - Caching,,,,,57.5968576262,,,,,,,,,,,,,57.5968576262
,API Gateway - Data Transfer,,0.08244402780000001,,,0.017205313599999997,,,,,,,,,,,,,0.09964934140000001
,Amplify - Hosting,,,,,0.0013281452,,,,,,,,,,,,,0.0013281452
,Athena,,1.36076,0.16773,0.288445,0.011,,,22.77205,0.0026,,,,,,,,,24.602585
,Certificate Manager - Certificate,,0,0,0,0,,,,,,,,,,,,,0
,CodeBuild - Build Minutes,,,,,,,,,39.660000000000004,,,,,,,,,39.660000000000004
,Cognito - Advanced Security Features,,,,,,,,0.2,,,,,,,,,,0.2
,Cognito - Other,,0.3555,,,0.999,,,,,,,,,,,,,1.3545
,Cognito - Enterprise,,0,,,,,,,,,,,,,,,,0
,Cognito - Essentials,,,,0,0,,,,,,,,,,,,,0
,Cognito - Lite,,0,0,0,0,,0,0,,,,,,,,,,0
,Direct Connect - Port Hours,,,,,,1900.8000000000002,,,,,,,,,,,,1900.8000000000002
,Directory Service - Enterprise Edition,,144.0250582358,,,,,144.02642569329998,,,,,,,,,,,288.05148392909996
,Directory Service - Standard Edition,,,345.66503221690004,,,,,,345.6685002007,,,,,,,,,691.3335324176
,DocumentDB - Backup,,135.80229319609998,,,137.75861844380003,,,,,,,,,,,,,273.56091163990004
,DocumentDB - Compute,,36425.7767248615,,,4287.62016602,,,,,,,,,,,,,40713.3968908815
,DocumentDB - Storage,,1892.2560960815,,,342.4779378914,,,,,,,,,,,,,2234.7340339729
,ECR - Data Transfer,,,,,,,,,0.0000077992,,,,,,,,,0.0000077992
,ECR - Storage,,,,,0.020744721600000002,,,,1.9423588024,,,,,,,,,1.963103524
,EC2 Container Service - Fargate Compute,,206.00284539509678,233.20463957299998,260.1009131493,9.533512267199992,,,,,,,,,,,,,708.8419103845968
,EC2 Container Service - Fargate Data Transfer,,1.0404162366999996,0.0246107994,0.0099006443,0,,,,,,,,,,,,,1.0749276803999996
,EC2 Container Service - Fargate Memory,,67.23377569250107,76.82272402939999,85.68294656360003,2.133219741299997,,,,,,,,,,,,,231.87266602680106
,EKS - Cluster Hours,,,221.9848254160001,,,,,,,,,,,,,,,221.9848254160001
,FSx - Backup,4414.6919043795,,,,,,46.320350813697544,,,,,,,,,,,4461.012255193197
,FSx - Data Transfer,0,,,,,,0,,,,,,,,,,,0
,FSx - Storage,12211.381820792598,,,,,,1024.0000000559999,,,,,,,,,,,13235.381820848597
,FSx - Throughput,76799.99999985119,,,,,,3840.000000158401,,,,,,,,,,,80640.00000000959
,Glacier - Transfer,,,1e-8,,4.19e-8,,,,,,,,,,,,,5.1899999999999995e-8
,Global Accelerator - Data Transfer,,,,,0.0032870476999999998,167.51948181619997,,,,,,,,,,,,167.52276886389998
,Global Accelerator - Fixed Fee,,,,,143.95000000000002,143.95000000000002,,,,,,,,,,,,287.90000000000003
,Glue - Crawler,13.801351520000003,7.13892652,,,,,,379.11043280000007,,,,,,,,,,400.0507108400001
,Glue - Job,,8366.88831208,172.48111276,2548.74278428,4687.28213052,,,,,,,,,,,,,15775.39433964
,AWS Key Management Service,27.900464844900004,95.95408563999999,35.813049987300005,31.948758973800004,648.2129563774001,4.345226948900001,23.892708294200002,57.259256590199996,445.27705036080005,3.9675057768999995,9.270360689,0.00426,48.190773769399996,10.1097305692,0.00468,0.011880000000000002,0.004224000000000001,1442.1669728220002
