Sheet: Cost ($)
Subtotal,Service Items,scdhhs-onbase-upper,scdhhs-mes-upper,scdhhs-eps-lower,scdhhs-eps-upper,scdhhs-mes-lower,scdhhs-onbase-lower,scdhhs-mes-networking,scdhhs-mes-audit,scdhhs-mes-shared,scdhhs-mes-upper-edi,scdhhs-cbs-sandbox,scdhhs-mes-bastion,scdhhs-mes-upper-fhir,mes-aws-sharedservices,scdhhs-mes-lower-fhir,scdhhs-mes-lower-edi,MES_AWS_PRD,Total
Direct Charges (117),,856177.001709637,419236.1477073168,129350.77063413343,90101.54372731388,102454.29322041564,97437.02410100406,75269.77017343434,50226.90980939709,19302.401678023405,15249.686262443201,6723.144970765699,319.0186054495,457.00699166679993,0.09589326869999998,113.6932365804,50.170764004500015,0.11042501230000001,1862468.7899098648
,EBS - PIOPs Storage,2453.3462459038997,,,,,,,,,,,,,,,,,2453.3462459038997
,EBS - Storage,44115.8995793582,14875.5716209848,1803.5010558058004,2720.6728807410004,3084.0559430309995,2802.4769497712,4551.6932805768,96.92473129560001,550.3319800861999,,12.387096727199998,,,,,,,74613.51511837779
,EC2 - Application Load Balancer Usage,0.0675049937,1138.4739606978005,710.7115982729001,504.80371411740003,728.8237041597002,,109.61516594100001,,,,,,,,,,,3192.495648182501
,EC2 - Application Load Balancer Transfer,,,0.5243644883000003,,,,,,,,,,,,,,,0.5243644883000003
,EC2 - Compute,174895.473230568,33573.37718047932,8697.2922802124,9108.023814255803,9394.409645257498,28713.276095228906,30991.774743641523,,5564.733918202601,,0.198780048,,,,,,,300938.559687894
,EC2 - CPU Credits,,,0.457594368,,0.01721685,0.000036192,,,0.13368960600000002,,,,,,,,,0.608537016
,EC2 - EBS Surcharge,0,0,0,0,0,0,0,,0,,,,,,,,,0
,EC2 - Classic Load Balancer Usage,,,235.95000000000005,,,,1559.4972537072003,,,,,,,,,,,1795.4472537072004
,EC2 - Classic Load Balancer Transfer,,,0.012421322999999998,,,,542.9278273291001,,,,,,,,,,,542.9402486521001
,EC2 - Network Load Balancer Usage,687.6079380941002,1302.9933987616005,237.78038103190002,476.238201677,648.2493008666003,200.02658729549998,2695.230594333601,,,,,,,,,,,6248.126402060301
,EC2 - Network Load Balancer Transfer,107.46511886389999,0.0705896636,0.000027001999999999997,0.025882363799999995,,3.3302947304,123.07222680660001,,,,,,,,,,,233.9641394303
,EC2 - EBS Snapshot,174720.8163152622,58016.47604329464,708.2598436309999,1157.7885564941005,885.0043836241001,6568.349809450922,1410.8952766592997,,376.0220483550003,,,,0.0731635309,,,,,243843.6854403022
,EC2 - Transfer,670.8547765889999,166.59196189050002,2.1936048489000006,5.8028612634,2.2710145663000003,25.0914123136,1670.3326740972,,0.6260131762,,,,,,,,,2543.7643187451
,EC2 - NAT Gateway Transfer,0.0004951984000000003,1401.773386322602,101.95518759109996,6.9101200689,0.016397346900000005,0.00020541699999999992,1612.981537958401,40.04401382199996,1.2433633781,0.00021858350000000007,,,,,,,,3164.9249256869034
,EC2 - NAT Gateway Usage,1195.0650000000003,5941.522500300001,1192.9245002976002,264.1125006048001,5120.594999992801,398.34000000000003,4118.310000000001,664.6950000000002,332.46000000000004,277.2900000000001,,,,,,,,19505.314501195204
,S3 - API,4501.607629894099,1409.351326152301,10.827373600000001,5.0435176,6.079177597300012,1.2076559999999998,2.1707256000000004,3463.142398263902,1.5279810838999994,0.16677000000000003,0.15192875460000002,0.3931743999999999,3.386332039999999,0.08525879999999998,0.8514108,0.18979860000000007,0.09980460000000001,9406.282263786103
,S3 - Glacier Deep Archive Overhead,109.85458418009999,0.0000578373,,,0.0037603949999999993,,,0.0145867988,,,,,,,,,,109.8729892112
,S3 - Glacier Deep Archive,1083.8118630745003,5.827785008499999,,,0.9748839246,,,0.3174672242,,,,,,,,,,1090.9319992318003
,S3 - Glacier Overhead,,7.042732115000005,,,,,,389.2157668074,,,,,,,,,,396.25849892239995
,S3 - Glacier,,1.4548033659,,,,,,231.19181997220005,,,,,,,,,,232.64662333810006
,S3 - Standard Infrequent Access,23.425169346000004,,,,,,,,,,,,,,,,,23.425169346000004
,S3 - Intelligent Tier,,,,,,0.013387578800000001,,43.0211396598,,,,,,,,,,43.0345272386
,S3 - Intelligent Tier Archive Instant Access,,,,,,0.22329837499999997,,12.1173653699,,,,,,,,,,12.3406637449
,S3 - Intelligent Tier Infrequent Access,,,,,,0.07902287699999999,,12.192520991300002,,,,,,,,,,12.271543868300002
,S3 - Intelligent Tier Monitoring and Automation,,,,,,0.7386883891999999,,10.315251948800002,,,,,,,,,,11.053940338000002
,S3 - Storage,57215.14421781439,46925.19507364379,297.6202966665999,4498.5864360065,4689.535988713201,1384.1917216063,14.007876052800002,8014.050403337298,534.0789129915005,2.3630876035,0.000022873,39.313054092799995,35.51106975619999,0.0000016651000000000006,10.328955919100002,3.7545574147999994,0.000018364100000000003,123663.681694521
,S3 - Transfer,0.4387895098999999,57.77237666030048,5.104131376499999,8.402214985400002,20.430069394400018,0.04450755849999998,0.0028427215,86.22735741120029,1.3337587387999983,0.0002703960999999999,0.0001896558,0.004123011399999985,1.5503642312000006,0.00015358309999999992,1.3057878025000005,0.0004793081999999999,0.00020704820000000006,182.6176233930008
,RDS - Charged Backup Usage,,,1.0056361300000003,1524.7483432475003,,,,,,,,,,,,,,1525.7539793775004
,RDS - Compute,,,22980.974419702,36702.884711453,5374.537377597,,,,,,,,,,,,,65058.396508752
,RDS - GP3 Storage,,,1155.8157532882,267.3968168413,436.4682637012001,,,,,,,,,,,,,1859.6808338307003
,RDS - I/O,,,67.9733356,60.6013284,,,,,,,,,,,,,,128.57466399999998
,RDS - Multi-AZ GP3 Storage,,,,2226.5328996158996,,,,,,,,,,,,,,2226.5328996158996
,RDS - Storage,,,0.9548652887000001,1.7026920268999999,,,,,,,,,,,,,,2.6575573156
,RDS - Transfer,,,0.0431521187,0.0639768492,0.00024582239999999995,,,,,,,,,,,,,0.10737479030000001
,API Gateway - API Call,,5.623961,0.024524499999999994,,0.057463,,,,,,,,,,,,,5.705948500000001
,API Gateway - Caching,,,,,113.6674631798,,,,,,,,,,,,,113.6674631798
,API Gateway - Data Transfer,,0.23525143630000003,,,0.046054311699999996,,,,,,,,,,,,,0.281305748
,Amplify - Hosting,,,,,0.0018900394000000002,,,,,,,,,,,,,0.0018900394000000002
,Athena,,4.30874,0.30029999999999996,1.97696,0.045445,,,69.39041,0.008050000000000002,,,,,,,,,76.029905
,Certificate Manager - Certificate,,0,0,0,0,,,,,,,,,,,,,0
,CodeBuild - Build Minutes,,,,,0.9500000000000001,,,,78.01,,,,,,,,,78.96000000000001
,Cognito - Advanced Security Features,,,,,,,,0.5499999999999999,,,,,,,,,,0.5499999999999999
,Cognito - Other,,517.6044432,,,871.2744651600002,,,,,,,,,,,,,1388.8789083600002
,Cognito - Enterprise,,0,,,,,,,,,,,,,,,,0
,Cognito - Essentials,,,,0,0,,,,,,,,,,,,,0
,Cognito - Lite,,0,0,0,0,0,,0,,,,,,,,,,0
,Direct Connect - Port Hours,,,,,,,5842.320000000001,,,,,,,,,,,5842.320000000001
,Directory Service - Enterprise Edition,3.6358849304999996,442.7396802885,,,,189.6814030262,,,,,,,,,,,,636.0569682452
,Directory Service - Standard Edition,,,1062.246928283,,,,,,1061.9230869675002,,,,,,,,,2124.1700152505
,DocumentDB - Backup,,382.63282441239994,,,283.8694888714,,,,,,,,,,,,,666.5023132837999
,DocumentDB - Compute,,114661.75453975337,,,28869.674587652702,,,,,14260.684710298401,,,,,,,,157792.11383770447
,DocumentDB - I/O,,,,,0.014769000000000001,,,,,,,,,,,,,0.014769000000000001
,DocumentDB - Storage,,4525.667003565401,,,1099.0025920107998,,,,,0.0587760526,,,,,,,,5624.7283716288
,ECR - Data Transfer,,,,,,,,,0.06260150020000001,,,,,,,,,0.06260150020000001
,ECR - Storage,,,,,0.0628685393,,,,10.843077719100002,,,,,,,,,10.905946258400002
,EC2 Container Service - Fargate Compute,,630.7298991083952,940.8507879005006,784.369613931,42.313462492600145,,,0.0006746667,,,,,,,,,,2398.264438099196
,EC2 Container Service - Fargate Data Transfer,,3.1066571221999997,0.0454537615,0.0365103569,0.0000010831999999999999,,,,,,,,,,,,,3.1886223237999998
,EC2 Container Service - Fargate Memory,,206.3965261251029,309.93688870630046,258.38855734880013,11.754007448899827,,,0.0001481667,,,,,,,,,,786.4761277958033
,EKS - Cluster Hours,,,795.1467344680002,,,,,,,,,,,,,,,795.1467344680002
,FSx - Backup,15439.67623600292,,,,,140.08796237799322,,,,,,,,,,,,15579.764198380914
,FSx - Data Transfer,2.1715871424,,,,,0.0013360642,,,,,,,,,,,,2.1729232066
,FSx - Storage,39677.799258124396,,,,,5418.893581861599,,,,,,,,,,,,45096.692839986
,FSx - Throughput,300310.0442530366,,,,,29772.6758177712,,,,,,,,,,,,330082.7200708078
,Glacier - Transfer,,1.26e-8,0.0000554567,,0.000051645999999999986,,,,,,,,,,,,,0.00010711529999999999
,Global Accelerator - Data Transfer,,,,,0.010942525199999994,,352.2600383392001,,,,,,,,,,,352.2709808644001
,Global Accelerator - Fixed Fee,,,,,442.5500000000001,,442.55,,,,,,,,,,,885.1000000000001
,Glue - Crawler,49.55872680000002,8.78591956,,,0.1639242,,,1072.11432812,,,,,,,,,,1130.62289868
,Glue - Job,,31946.119225119997,2468.76146572,14094.99178912,8320.67433692,,,,,,,,,,,,,56830.54681688
,AWS Key Management Service,76.04253155830001,292.06931205519993,110.0337578466,100.60204144560001,1965.5967842863997,66.67226585179999,12.970744909800004,174.76110119500004,1288.3125417196998,0.24029700000000004,12.047147328900005,25.905697246200006,200.59305423970002,0.010478999999999999,42.32837352240001,0.16706399999999993,0.010395000000000001,4368.3635882056005
,Lambda - Compute,0.0016616108999999999,42.89574870579998,20.793573793500002,34.802460751199995,2.5501805676000004,0.0017488267999999998,28.146536219999998,60.895697600999995,6.443607339799999,0.0000385272,,0.010136919099999999,0.000039904199999999996,,0.000037252099999999995,0.0000360688,,196.54150408799995
